loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_weighted_precision,eval_weighted_recall,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9346,6.213620185852051,1.9331058020477818e-05,0.17064846416382254,50,,,,,,,,,,,,,,,,
0.8168,7.8007683753967285,1.8648464163822526e-05,0.3412969283276451,100,,,,,,,,,,,,,,,,
0.6109,5.730070114135742,1.7965870307167237e-05,0.5119453924914675,150,,,,,,,,,,,,,,,,
0.569,25.67678451538086,1.7283276450511948e-05,0.6825938566552902,200,,,,,,,,,,,,,,,,
0.5146,4.2787580490112305,1.6600682593856655e-05,0.8532423208191127,250,,,,,,,,,,,,,,,,
,,,1.0,293,0.48184046149253845,0.7962328767123288,0.7355767826530452,0.7495038987274666,0.7415754421031572,0.8010379384768289,0.7962328767123288,0.7975689752727669,0.853,684.644,22.274,,,,,
0.4564,6.73549747467041,1.5918088737201366e-05,1.023890784982935,300,,,,,,,,,,,,,,,,
0.4104,3.296879768371582,1.5235494880546076e-05,1.1945392491467577,350,,,,,,,,,,,,,,,,
0.4088,11.013229370117188,1.4552901023890786e-05,1.36518771331058,400,,,,,,,,,,,,,,,,
0.383,7.432221412658691,1.3870307167235496e-05,1.5358361774744027,450,,,,,,,,,,,,,,,,
0.3584,12.654693603515625,1.3187713310580205e-05,1.7064846416382253,500,,,,,,,,,,,,,,,,
0.3485,17.786630630493164,1.2505119453924916e-05,1.8771331058020477,550,,,,,,,,,,,,,,,,
,,,2.0,586,0.46541720628738403,0.7962328767123288,0.733924911699298,0.7191833188415401,0.7249479095728345,0.7886074398381467,0.7962328767123288,0.7916040013192127,0.8729,669.023,21.766,,,,,
0.3138,3.268854856491089,1.1822525597269625e-05,2.04778156996587,600,,,,,,,,,,,,,,,,
0.2274,2.674225091934204,1.1139931740614336e-05,2.218430034129693,650,,,,,,,,,,,,,,,,
0.2536,4.176302433013916,1.0457337883959044e-05,2.3890784982935154,700,,,,,,,,,,,,,,,,
0.3016,3.08549427986145,9.774744027303755e-06,2.5597269624573378,750,,,,,,,,,,,,,,,,
0.2453,14.443193435668945,9.092150170648464e-06,2.73037542662116,800,,,,,,,,,,,,,,,,
0.2334,14.665816307067871,8.409556313993175e-06,2.901023890784983,850,,,,,,,,,,,,,,,,
,,,3.0,879,0.5021792054176331,0.8065068493150684,0.7606317690309785,0.6834080012102154,0.6969339811741313,0.7919801838352857,0.8065068493150684,0.7863317744691593,0.8673,673.365,21.907,,,,,
0.2371,5.863559722900391,7.726962457337884e-06,3.0716723549488054,900,,,,,,,,,,,,,,,,
0.1947,1.3682886362075806,7.044368600682594e-06,3.242320819112628,950,,,,,,,,,,,,,,,,
0.1774,1.8192347288131714,6.361774744027305e-06,3.4129692832764507,1000,,,,,,,,,,,,,,,,
0.1831,1.1523147821426392,5.679180887372015e-06,3.583617747440273,1050,,,,,,,,,,,,,,,,
0.2035,20.41314697265625,4.996587030716724e-06,3.7542662116040955,1100,,,,,,,,,,,,,,,,
0.2311,3.818265438079834,4.313993174061434e-06,3.9249146757679183,1150,,,,,,,,,,,,,,,,
,,,4.0,1172,0.5922679901123047,0.797945205479452,0.7386161198669715,0.6681764906298676,0.6793378488248928,0.7794199811975927,0.797945205479452,0.7757781303438273,0.8774,665.565,21.654,,,,,
0.1704,2.357790231704712,3.6313993174061434e-06,4.09556313993174,1200,,,,,,,,,,,,,,,,
0.1688,7.976234436035156,2.9488054607508536e-06,4.266211604095563,1250,,,,,,,,,,,,,,,,
0.1706,2.5420587062835693,2.2662116040955633e-06,4.436860068259386,1300,,,,,,,,,,,,,,,,
0.164,5.001571178436279,1.583617747440273e-06,4.607508532423208,1350,,,,,,,,,,,,,,,,
0.1758,2.599109411239624,9.01023890784983e-07,4.778156996587031,1400,,,,,,,,,,,,,,,,
0.1476,4.180380344390869,2.1843003412969286e-07,4.948805460750854,1450,,,,,,,,,,,,,,,,
,,,5.0,1465,0.6111282110214233,0.7756849315068494,0.6907850260077879,0.6670496784026764,0.6735412284192771,0.757636123973832,0.7756849315068494,0.7636138119870997,0.8742,668.032,21.734,,,,,
,,,5.0,1465,,,,,,,,,,,,155.8419,149.928,9.401,1152683438477760.0,0.32943766629736576
